,testability_meaning,bodyComment,codeComment,pr_group,ref_pattern,java_files_count,prod_file,prod_location,test_location,comment,url,relevance,bodyTestableText,java_files_count.1,prod_file.1,test_file,title,is_title_testable,java_files_count.2,Unnamed: 19,test_java_files_count,files_count
56,,actually it is not refactoring for testability,TestResultHandler extracted and mocked from junit,incl_ref_for_test,extract_class_for_override,37.0,,https://github.com/dbfit/dbfit/pull/163/files#diff-6a0c22106313d6f96331eccc31d43c34f16e168b00b09d2b4701a585eb76ba82R9,https://github.com/dbfit/dbfit/pull/163/files#diff-decaf779f48a63eeccd63806b9ddd5db783a5bd6fc575343beb46796da209528R20,,https://github.com/dbfit/dbfit/pull/163,relevant,"In this new world, the Fit fixtures are very simple wrappers which mainly deal with the table parsing and syntax;the idea that each cell has an action associated with it (see the Action interface implementations);the concept of a TestResultHandler - this is again an abstraction to allow easier testability, and support for both Fit and Slim;;Remaining tasks:;; unit tests; make Row, ExecutionTable independent of Fit; reimplement SymbolAccessQueryBinding, SymbolAccessSetBinding using actions; make MostAppropriateAction more generic",,,,A refactoring of the execute fixtures,False,37.0,,3.0,37.0
57,,,"this is not a refactoring, but rather a new component",irrelevant,irrelevant,3.0,,,,,https://github.com/quarkusio/quarkus/pull/9126,relevant,"The parsing algos are small, scoped, testable, isolated and uncoupled.",,,,Testing a new way of dealing with extension codegen (this is a POC),False,3.0,,1.0,6.0
58,,,ServerRepository::getServers extracted from ChangingServerUrlUtils::getUrlList,incl_ref_for_test,extract_class_for_invocation,20.0,,https://github.com/getodk/collect/pull/4099/files#diff-56f202192a4aa3deba6db4c28fd0fa312535178da1d1173a6affc334fe38d84fR41,,,https://github.com/getodk/collect/pull/4099,relevant,so it's more accessible and testable (probably something to think about in Onboarding).;,,,,Stop server list being cleared on import,False,20.0,,8.0,20.0
59,,,only tests refactored,irrelevant,irrelevant,3.0,,none,https://github.com/getodk/collect/pull/4127/files#diff-c72fe38ecae13cf50739b161e73098d22b3362662053b6a166a5fd488c5a5f8aR114,,https://github.com/getodk/collect/pull/4127,likely irrelevant,This is hard because it would require some rework to get the disk sync code in a testable place.;,,,,Fix flakey delete form test,False,3.0,,1.0,3.0
60,,,the change contains non-testable changes,irrelevant,irrelevant,4.0,,,,,https://github.com/INRIA/spoon/pull/2149,irrelevant,There are also other not-testable fixes which sets correctly maxOffset of findPrevNonWhitespace.,,,,review: fix: position of `String arg[]` and lambda parameter,False,4.0,,3.0,4.0
61,,,no refactorings detected,irrelevant,irrelevant,5.0,,,,,https://github.com/DataBiosphere/consent/pull/226,irrelevant,Not currently testable (and not worked on for this PR):;;,,,,Index Parents,False,5.0,,1.0,10.0
62,,,rather major rework,irrelevant,irrelevant,55.0,,,,,https://github.com/AstraZeneca-NGS/VarDictJava/pull/171,relevant,Description;This PR change architecture of VarDictJava to be more testable.;;,,,,Refactoring of the VarDict structure. Unit tests.,False,55.0,,11.0,77.0
63,,,only new code added,irrelevant,irrelevant,17.0,,,,,https://github.com/cdk/cdk/pull/173,likely irrelevant,"Testable example:;;SMILES: c1ccccc1.C*.C* |$;;;;;;;_AP1;;R5$,m:6:0.1.2.3.4.5,m:8:0.1.2.3.4.5|;Full Code:;IAtomContainer mol = new SmilesParser(SilentChemObjectBuilder.getInstance()).parseSmiles(""c1ccccc1.CC.C[R5]"");;;// set attach point;AtomContainerManipulator.replaceAtomByAtom(mol, mol.getAtom(7), new PseudoAtom(""_AP1""){{;    setAttachPointNum(1);;}});;;// make positional variation;Sgroup pv1 = new Sgroup();;pv1.setType(SgroupType.ExtMulticenter);;pv1.addAtom(mol.getAtom(6));;pv1.addBond(mol.getBond(6));;",,,,Patch/sgrouplayout,False,17.0,,4.0,19.0
64,,,executor is created using ObjectPool instead of directly. Essentially a factory is injected.,incl_ref_for_test,add_constructor_param,4.0,,https://github.com/grpc/grpc-java/pull/2605/files#diff-60adbeab432cd067c14d6c244997fa568e5ff7df7dca6564793027351b791efeR165,https://github.com/grpc/grpc-java/pull/2605/files#diff-18f2014d08f971729a6422e80eae0ce16dab9639129ac4522d9a4c75cb1a420cR162,,https://github.com/grpc/grpc-java/pull/2605,relevant,Uses ObjectPool to make this change testable.,,,,core: ServerImpl returns shared resources at termination,False,4.0,,1.0,4.0
65,,,_newCard extracted and used in junits,only_ref_for_test,extract_method_for_invocation,11.0,,https://github.com/ankidroid/Anki-Android/pull/5149/files#diff-a98ebe7cb398acfeb75fc7434c46f0ce9f764247fce6d93953e791526085ad43R806,https://github.com/ankidroid/Anki-Android/pull/5149/files#diff-aabec27a5c6421602126bd3960aebaca2ff37ac825294f8d4bf50f2842bea93cR114,,https://github.com/ankidroid/Anki-Android/pull/5149,relevant,"The goal here is more testability with the two test-related commits, then with the controversial commit it is to make it so we can check whether deleting a template",,,,"CardTemplateEditor fix pre3 - two testability changes, one method extraction",True,11.0,,5.0,11.0
66,,,mShowingAnswer made protected and exposed/asserted in tests,only_ref_for_test,widen_access_for_invocation,,,https://github.com/ankidroid/Anki-Android/pull/5149/files#diff-c62e1c5213bbbdab229f1410585f37b0cde043b9dba27a7ad900ee540ea640e9R47,https://github.com/ankidroid/Anki-Android/pull/5149/files#diff-aabec27a5c6421602126bd3960aebaca2ff37ac825294f8d4bf50f2842bea93cR100,,https://github.com/ankidroid/Anki-Android/pull/5149,,,,,,,,,,,
67,,,refactored for testability without tests: OrderByClause and PartitionByClause extracted and can be tested separately,only_ref_for_test,extract_class_for_invocation,3.0,,https://github.com/JSQLParser/JSqlParser/pull/629/files#diff-54f0d05d9979329e332b60ff8696b7900e2c02d9423a53499e07de1acdaae744R169,none,,https://github.com/JSQLParser/JSqlParser/pull/629,relevant,"Extract the ""partition by"" and ""order by"" logics out of AnalyticExpression into two new classes, in order to make the code more testable and more readable.",,,,Refactor to make the code more readable and testable,True,3.0,,0.0,3.0
68,,,"Header class extracted, but no obvious testability refactoring and there are no tests anyway",incl_ref_for_test,other,8.0,,https://github.com/spinnaker/kork/pull/493/files#diff-d3c5881034a11a484078060833a80abce1adf228afe20e7c0a5ab3b5c3dd13abR26,none,,https://github.com/spinnaker/kork/pull/493,relevant,This should make code that depends on these values to be more easily testable and make it easier to go from one type of context to another (as I am currently doing in gate).,,,,feat(context): provide a RequestContext abstraction,False,8.0,,0.0,11.0
69,,,"IAuthenticationResult interface extracted, but not used in tests",only_ref_for_test,irrelevant,9.0,,https://github.com/AzureAD/microsoft-authentication-library-for-android/pull/473/files#diff-efe1231a632f4489c51437d09fd5b87bba859834fe8985297824fbb4870d7af6R30,,,https://github.com/AzureAD/microsoft-authentication-library-for-android/pull/473,likely relevant,This work may be better evaluated in the form of an 'all-up' review of architecture/testability.,,,,"Converts AuthenticationResult to an interface, annotates methods",False,9.0,,1.0,9.0
70,,,PartitionContext and PartitionTransition extracted into separate classes and mocked in junits,only_ref_for_test,extract_class_for_override,20.0,,https://github.com/camunda-cloud/zeebe/pull/5522/files#diff-2af7ecfa233e682af8f59eae66ea7640425af71b72cd3b17a061f9571fc8594aR49,https://github.com/camunda-cloud/zeebe/pull/5522/files#diff-e8de58fd16dba284b596bc574362868a5d02bbb84e0d32f30873a8a68a192ab2R52,,https://github.com/zeebe-io/zeebe/pull/5522,relevant,This PR extracts some behaviors from ZeebePartition in order to make it more testable and maintainable.,,,,chore(broker): refactor ZeebePartition,False,20.0,,2.0,20.0
71,,,"no tests affected, only package constructors made public",only_ref_for_test,widen_access_for_invocation,9.0,,https://github.com/reactor/reactor-core/pull/9/files#diff-88c02ef3f4a506482f1af81cd839ec17b3dc422f4092a24728fae8e86fd6914aR37,,,https://github.com/reactor/reactor-core/pull/9,relevant,This change makes them public;for the sole purposes of testability in projects that use the reactor;project.,,,,Expose Tuple constructors,False,9.0,,0.0,9.0
72,,,factory provided from outside and overriden in test,incl_ref_for_test,add_constructor_param,3.0,,https://github.com/wildfly/wildfly-core/pull/1895/files#diff-77da1be0ac34ae47265fcbf81c8d17033bc7a5f05d0242f6ac02caebd622775fR321,https://github.com/wildfly/wildfly-core/pull/1895/files#diff-a21519b36ba60d525637eeda5893557f076fa311175b9083fbfd0a78e9dd6639R1484,,https://github.com/wildfly/wildfly-core/pull/1895,relevant,Redesigned lightly ValueTypeCompleter/CapabilityReferenceCompleter to be testable without capabilities retrieved from server capability registry.;,,,,Fix for WFCORE-1920. Completion for list of capability references,False,3.0,,1.0,3.0
73,,,readFilter provided from junit,incl_ref_for_test,add_constructor_param,36.0,,https://github.com/broadinstitute/gatk/pull/2218/files#diff-29952221dc43974e0718b907846f2965494c36b9251e07471c8ac88a2ec195afR60,https://github.com/broadinstitute/gatk/pull/2218/files#diff-0a906baee3e3c9d6e48a3ef8c28093365b46eec7168944b8c677972860948afaR53,,https://github.com/broadinstitute/gatk/pull/2218,relevant,Minor change/rationalization of naming and implementation of BQSR filter methods to match the rest of the framework;Made a small change to the implementation of the base read filter class to improve clarity/testability;Opportunistic removal of extraneous imports in unrelated classes,,,,Move ReadFilter plugin integration up to GATKTool.,False,36.0,,6.0,39.0
74,,,injected commandInterface to avoid instantiation. mocked from junit,incl_ref_for_test,add_constructor_param,17.0,,https://github.com/zsmartsystems/com.zsmartsystems.zigbee/pull/41/files#diff-2c637322a955b2c363ede1267ab2944f2798eb02e13595987a918b2ba8c7e869R163,https://github.com/zsmartsystems/com.zsmartsystems.zigbee/pull/41/files#diff-0aa816fe96e9e9eb76490aad69a71015cddc150d35dedd3711691ea19ee34ef2R47,,https://github.com/zsmartsystems/com.zsmartsystems.zigbee/pull/41,relevant,"Refactored the ZigBeeNetworkManagerImpl class to inject the CommandInterface to make it more testable, and added tests.;",,,,Improved handling of ZNP channel setting method to ensure incorrect data uses default channel,False,17.0,,12.0,17.0
75,,,3 parameters injected instead of deriving/instantiating in constructor,only_ref_for_test,add_constructor_param,18.0,,https://github.com/bugsnag/bugsnag-android/pull/606/files#diff-cb44d26dd2ad046aaeef8595fd8d81e8e7d2beaadad2131d6ba33d9cc7870a3bR20,https://github.com/bugsnag/bugsnag-android/pull/606/files#diff-6992843411a3907b0b59f5ca2715d7f9d3fbf65b2df9d67250b6283f436da6c5R104,,https://github.com/bugsnag/bugsnag-android/pull/606,relevant,"Additionally, SessionTrackingPayload now injects a map and Notifier instance rather than AppData/DeviceData, to improve its testability.;",,,,Add parameterised JSON serialisation tests for JVM classes,False,18.0,,43.0,93.0
76,,,SearchDomain::getForUser extracted,incl_ref_for_test,extract_class_for_invocation,16.0,,https://github.com/Graylog2/graylog2-server/pull/6687/files#diff-0eb25b6a72884e977f73dcd5b3a6556b6eebd50d23169b3f1f8790d145f497fbR39,https://github.com/Graylog2/graylog2-server/pull/6687/files#diff-3d926f5deeeb4610758be17f95bbfa8b30bf97933ea05213e0c2fc24118c863bR66,,https://github.com/Graylog2/graylog2-server/pull/6687,relevant,"Motivation and Context;;Add missing feature of filtering down the searches list to only permitted ones;Establish clearer boundaries between domain logic, data access, rest api;Improve testability by encapsulating in stateless classes.",,,,Filter searches for only permitted ones when GET /views/search is requested,False,16.0,,6.0,16.0
77,,,only new code added,irrelevant,irrelevant,4.0,,,,,https://github.com/thorntail/thorntail/pull/599,irrelevant,"These client tools are usually used in Arquillian client mode tests (@RunAsClient or testable=""false"").",,,,SWARM-1480: Don't use Arquillian test classes in client mode to detect fractions,False,4.0,,0.0,4.0
78,,,no junits because not easily testable,irrelevant,irrelevant,14.0,,,,,https://github.com/pentaho/pentaho-kettle/pull/25,irrelevant,"Unit test is not created as the issue is UI- and threading- related, thus not so easily testable IMO.",,,,[PDI-8262] Failed to execute runnable (org.eclipse.swt.SWTException: Widget is disposed): further steps - Pentaho BI Platform Tracking,False,14.0,,0.0,14.0
79,,too large to understand,singleton replaced with injection,incl_ref_for_test,add_constructor_param,88.0,,https://github.com/getodk/collect/pull/1871/files#diff-e93432c4758d7a7e0eb44d0e7ca1732ea88f8ad4adea2a191669f569de1b9feeR35,,,https://github.com/getodk/collect/pull/1871,relevant,"By using this, we can inject them as a dependency, hence making the code more testable.;",,,,[WIP] Adds AdminSharedPreferences and GeneralSharedPreferences as a dependency,False,88.0,,22.0,89.0
80,,,duplicate,irrelevant,irrelevant,7.0,,,,,https://github.com/SonarSource/sonarqube/pull/79,relevant,Second commit moves some code to make IssueQueryService a bit more testable and readable,,,,Refactoring on IssueQueryService,False,7.0,,3.0,7.0
81,,,"a few methods rearranged in IssueQueryService, no impact on testability",irrelevant,irrelevant,7.0,,,,,https://github.com/SonarSource/sonarqube/pull/80,relevant,Second commit moves some code to make IssueQueryService a bit more readable and testable,,,,Feature/refactoring on IssueQueryService,False,7.0,,3.0,7.0
82,,,ApacheHttpClientMediaWikiApi extracted and integration-tested separately,incl_ref_for_test,extract_class_for_invocation,38.0,,https://github.com/commons-app/apps-android-commons/pull/763/files#diff-3bc30bb9eb3e4d1b64a52927578d222d9c9d1525951d91b4dd260602123966daR91,https://github.com/commons-app/apps-android-commons/pull/763/files#diff-390f412814b456f42c3aaacd4c393983ceb5319c68bbbe1c005ca378fec9789eR38,,https://github.com/commons-app/apps-android-commons/pull/763,relevant,This makes the code more testable (isolating the networking tests to a single class) and makes it easier to use mocks in the rest of the app if you want to unit test just the interactions later.;,,,,Refactoring the API calls,False,38.0,,1.0,41.0
83,testability_can_be_tested_in_future,,testable means can be tested after another PR is merged,irrelevant,irrelevant,1.0,,,,,https://github.com/molgenis/molgenis/pull/3577,irrelevant,Testable after #3575 was merged.,,,,Fix #1965 Inactive user gets misleading login error message,False,1.0,,0.0,1.0
84,,no relevant tests,questionable even for maintainers: LedgerDirsMonitor extracted to make it more testable,incl_ref_for_test,extract_class_for_invocation,8.0,,https://github.com/apache/bookkeeper/pull/108/files#diff-40001767d051b7077919da98c7c5e46bbb15659e399a3abb3583f9f334beb6beR42,none relevant,,https://github.com/apache/bookkeeper/pull/108,relevant,"When bookie is in RW mode all disks which are < HWM (storage threshold) are RW;- refactored code and separated LedgerDirsMonitor from LedgerDirsManager, to remove circular dependency;  between LedgerDirsManager and LedgerDirsMonitor and also it improves testability by making them separate classes.;  ",,,,BOOKKEEPER-944: LowWaterMark Storage Threshold,False,8.0,,3.0,9.0
85,,,"constructor widened and ZooKeeperServerShimImpl extracted, but no tests",incl_ref_for_test,add_constructor_param,4.0,,https://github.com/apache/bookkeeper/pull/164/files#diff-15bc8600c0236cebf717dc351cd5b89cdf24b669ad0aa0145db3362a1c540b8aR61,,,https://github.com/apache/bookkeeper/pull/164,relevant,BookKeeper: Local Bookkeeper enhancements for testability;;Allow creating local bookies without always starting a zookeeper server - This is required as tests may want to create and use their own instance of a test zookeeper;Allow using non default zookeeper host and more importantly non default ZK port;Allowing the caller to specify the initial port for the bookies;Optionally shutdown bookies when the bookie thread exits,,,,BOOKKEEPER-1078: Local BookKeeper enhancements for testability,True,4.0,,0.0,4.0
86,,,spring JavaMailSender replaced with MailSender.,only_ref_for_test,extract_class_for_override,17.0,,https://github.com/molgenis/molgenis/pull/5708/files#diff-d9d2b4cd469f9ab19c2c9e768f684e87e48ff694241b2759f4493c24dd7d59acR57,https://github.com/molgenis/molgenis/pull/5708/files#diff-5efc8a19fbda8e689a155d5d7ff1ff5afe38afe6937349648d33f93ee9d5837aR53,,https://github.com/molgenis/molgenis/pull/5708,relevant,Updated testplan;;Use MailSender interface to make the mail interaction more testable.;,,,,Make mail settings configurable through a settings entity,False,17.0,,4.0,21.0
87,,,no obvious patterns,incl_ref_for_test,other,21.0,,,,,https://github.com/NucleusPowered/Nucleus/pull/1226,relevant,"This is in order to fix #1223 by ripping the code into its own class and make it more testable, but also to enable customisation by plugin authors.",,,,Start work on RTP registry module so custom RTP algorithms can be used with Nucleus,False,21.0,,0.0,25.0
88,,,list of class annotations extended,irrelevant,irrelevant,1.0,,,,,https://github.com/spring-projects/spring-boot/pull/18214,likely irrelevant,Spock-2.0 uses @Testable on the class instead of each test.,,,,TestTypeExcludeFilter does not detect JUnit 5's @Testable annotation,True,1.0,,0.0,1.0
89,testability_no_testable_logic,,no testable logic,irrelevant,irrelevant,14.0,,,,,https://github.com/ISISComputingGroup/ibex_gui/pull/615,irrelevant,No unit-testable logic added.;,,,,Add indicator for DAE simulation mode,False,14.0,,0.0,26.0
90,,,only new code added,irrelevant,irrelevant,3.0,,,,,https://github.com/ISISComputingGroup/ibex_gui/pull/657,irrelevant,The rest is GUI logic and not testable.;,,,,Log plotter graph shows current units,False,3.0,,1.0,5.0
91,testability_no_testable_logic,,no testable logic,irrelevant,irrelevant,3.0,,,,,https://github.com/ISISComputingGroup/ibex_gui/pull/665,irrelevant,No unit-testable logic;,,,,Ticket 3001,False,3.0,,0.0,4.0
92,,,"access widened for testability, there are no tests though",only_ref_for_test,widen_access_for_invocation,2.0,,https://github.com/Azure/azure-event-hubs-java/pull/435/files#diff-173f4c2c521984192d8385aa85ee721871f2b10d21db8adbc2fe9993eae69bb7R150,,,https://github.com/Azure/azure-event-hubs-java/pull/435,relevant,Description;Porting testability changes from .NET,,,,Make EventData.SystemProperties completely public,False,2.0,,0.0,2.0
93,,,clock injected,only_ref_for_test,override_system_time,27.0,,https://github.com/hazelcast/hazelcast-aws/pull/168/files#diff-02794124f5fc6e1f30c1cbc1e27b16b7708652d3d9835c5335bee782c6c165d8R92,https://github.com/hazelcast/hazelcast-aws/pull/168/files#diff-3c826832d04aced686d3c841bd75b3b78ca6f7a880335ab0e3ec2ba28a15dcdaR44,,https://github.com/hazelcast/hazelcast-aws/pull/168,relevant,"Goals for this refactoring:;;Decouple AwsDescribeInstancesApi, CloudyUtility, EC2RequestSigner, AwsURLEncoder (use them as separate testable classes);Introduce RestClient class (copied from other plugin modules, like from here);Improve unit testing (especially AwsDescribeInstancesApi and AwsEc2RequestSigner);;;",,,,Refactor rest client,False,27.0,,10.0,28.0
94,,,AwsEc2RequestSigner mocked and injected from junits,only_ref_for_test,add_constructor_param,,,https://github.com/hazelcast/hazelcast-aws/pull/168/files#diff-02794124f5fc6e1f30c1cbc1e27b16b7708652d3d9835c5335bee782c6c165d8L78,https://github.com/hazelcast/hazelcast-aws/pull/168/files#diff-3c826832d04aced686d3c841bd75b3b78ca6f7a880335ab0e3ec2ba28a15dcdaR63,,https://github.com/hazelcast/hazelcast-aws/pull/168,,,,,,,,,,,
95,,,exposed startTime via builder and used in SQL. ,irrelevant,irrelevant,20.0,,https://github.com/dhis2/dhis2-core/pull/3607/files#diff-4cbf13b869b34c50d6be77da579cc332a09de7e7a4df5f5358a29730135ee5daR224,,,https://github.com/dhis2/dhis2-core/pull/3607,relevant,Adds method withStartTime to AnalyticsTableUpdateParams to make the code more testable.,,,,Add time check to analytics table partition query,False,20.0,,8.0,20.0
96,,,prepareHeaders extracted and unit-tested,only_ref_for_test,extract_method_for_invocation,2.0,,https://github.com/grpc/grpc-java/pull/1198/files#diff-3ae292d503fde27015fcffd81fd048a07ef60046cc09a505cc52f718bfe157f2R117,https://github.com/grpc/grpc-java/pull/1198/files#diff-2c1b75390280514af1e3b266ac845afa656a757880d4e514d3ff5f511fe77f37R131,,https://github.com/grpc/grpc-java/pull/1198,relevant,"Minor refactor of ClientCallImpl's start method to be more testable, and also add tests.;",,,,Minor cleanup of ClientCallImpl header normalization,False,2.0,,1.0,2.0
97,,,LogUnitServerCache extracted and asserted from junits,incl_ref_for_test,extract_class_for_invocation,17.0,,https://github.com/CorfuDB/CorfuDB/pull/1959/files#diff-20eb083635a2286591888134b7ba14d45a32553e095fe807d75af5a9a345221cR138,https://github.com/CorfuDB/CorfuDB/pull/1959/files#diff-a06e6b7e1b8d4606329ad1d1568c7fd1d5fd1321423c70d439e7b13746ea8980R69,,https://github.com/CorfuDB/CorfuDB/pull/1959,relevant,Separates log unit cache into a new cache class for more readability;and testability.,,,,Introducing non-cacheable reads on log unit server. (#1901),False,17.0,,4.0,17.0
98,,,only new code added,irrelevant,irrelevant,2.0,,,,,https://github.com/INRIA/spoon/pull/2726,irrelevant,so it is not easily testable.,,,,fix: PatternMatcher ignores isImplicit,False,2.0,,1.0,3.0
99,,,only new code added,irrelevant,irrelevant,1.0,,,,,https://github.com/commons-app/apps-android-commons/pull/3344,relevant,Fixes #3343  TextUtils.isEmpty creates problems when unit testing with Mockito;Added a mock TextUtils class for making Unit testing of boolean returning TextUtils methods unit testable using Mockito.,,,,Fixes: #3343 TextUtils.isEmpty creates problems when unit testing with Mockito,False,1.0,,1.0,2.0
100,,,WebDavHttpClientFactory::create extracted to override in junit,incl_ref_for_test,extract_class_for_override,18.0,,https://github.com/k9mail/k-9/pull/1147/files#diff-c4dc5f6dc0f5dd4280035631f64ec829b4450c3110d7d522cf822309c1e397a6R956,https://github.com/k9mail/k-9/pull/1147/files#diff-12a492932da08202162e86bffd52c72f89961417cd5c124e67e6be1ef36f8e8cR95,,https://github.com/k9mail/k-9/pull/1147,relevant,The bugs are mainly minor and mentioned in #1143 but the refactoring should provide a better base going forward to writing testable code to fix the remaining issues.,,,,Refactoring and fixing bugs in WebDAV code,False,18.0,,3.0,18.0
101,testability_can_be_tested,,testable means can be tested,irrelevant,irrelevant,30.0,,,,,https://github.com/MovingBlocks/Terasology/pull/2948,irrelevant,I'll expect this to become a bit bigger and will try to work in commits as small as possible with a testable state between committs.,,,,Input and Binds refactoring,False,30.0,,2.0,30.0
102,,,no refactorings. testable means can be tested with regard to lombok,irrelevant,irrelevant,14.0,,,,,https://github.com/rzwitserloot/lombok/pull/1771,irrelevant,"Note;;;;;No lombok;;;Project requires lombok, so it is not testable;;;1.18.0 - original;~39 sec;21 sec;",,,,Reduced the AST traverse calls to improve ECJ performance,False,14.0,,0.0,14.0
103,,,inject ncp from outside instead of instantiating it via protocolHandler,incl_ref_for_test,add_constructor_param,5.0,,https://github.com/zsmartsystems/com.zsmartsystems.zigbee/pull/470/files#diff-7e9eee19ff366804521d6006d6c5f0b7d4513c608666d11abf399c2ba3e2b15eR39,,,https://github.com/zsmartsystems/com.zsmartsystems.zigbee/pull/470,relevant,Some small internal refactoring of the Ember dongle is included to improve the testability of the implementation.;,,,,Initial ZigBeeTransportTransmitTest implementation for Ember,False,5.0,,2.0,7.0
104,,,"txId parameter removed from metthods, not relevant to testability",irrelevant,irrelevant,1.0,,,,,https://github.com/apache/storm/pull/2758,irrelevant,"The test is missing because the file doesn't exist in 1.x, and the work to make the emitter testable wasn't done on this branch.",,,,STORM-3046: Ensure KafkaTridentSpoutEmitter handles empty batches cor…,False,1.0,,0.0,1.0
105,,,searchManager injected as mock from units,incl_ref_for_test,add_constructor_param,13.0,,https://github.com/aerogear/aerogear-unifiedpush-server/pull/1002/files#diff-6fbb818aefea380f7ee8c6cfb6d54f2a7a58555f7bb2dfe829716085eae1aa22R59,https://github.com/aerogear/aerogear-unifiedpush-server/pull/1002/files#diff-ed22bbb57c8affd9503a1d8ffb39865f1545e1ae81f16dd93967faeb40272956R56,,https://github.com/aerogear/aerogear-unifiedpush-server/pull/1002,relevant,"But, in order to make things testable, I added additional protected constructors to pass params to those endpoints.",,,,fix: Check variant platform before deletion/secretReset/findById,False,13.0,,3.0,13.0
106,,,MySqlTaskContext extracted and unit-tested,incl_ref_for_test,extract_class_for_invocation,43.0,,https://github.com/debezium/debezium/pull/52/files#diff-2fb991f953c491e9f94e023c0f9c1cf0d910594df1d09fcb457a76e97b1409fdR64,https://github.com/debezium/debezium/pull/52/files#diff-a5a9fb4ad01ac1304ae89eb4753492653ee2dd22ea79741855772d707852cd73R83,,https://github.com/debezium/debezium/pull/52,relevant,This helped clean up the code and encapsulate different logic into more meaningful and more testable components.;,,,,DBZ-31 MySQL connector can now start with a consistent snapshot,False,43.0,,15.0,53.0
107,testability_changes_suggested,,testable is meant for potential changes in the future,irrelevant,irrelevant,11.0,,,,,https://github.com/alibaba/Sentinel/pull/598,relevant,"I think using static method in XxxRuleManager is better, since it makes the slot class more testable,;and we can write separate test cases for XxxRuleManager.;",,,,Add test cases for different ProcessorSlot,False,11.0,,11.0,11.0
108,,,Clock injected via add_constructor_param,incl_ref_for_test,override_system_time,2.0,,https://github.com/palantir/atlasdb/pull/4338/files#diff-89c3f02d0af5528a16bf763a36e22bb4a83a1bac66a7627d6ab2283e3b47199fR54,https://github.com/palantir/atlasdb/pull/4338/files#diff-3a27181808e5fb06624a35d066299d588be5b4238c2cd231eaad3610ac22555eR59,,https://github.com/palantir/atlasdb/pull/4338,relevant,"Handle hosts on the blacklist but not in the pool correctly, rather than throw an NPE;Refactor Blacklist to make it partially testable;;Testing (What was existing testing like?  ",,,,Cassandra Blacklist NPE fix,False,2.0,,1.0,3.0
109,,,InputStream injected from outside to mock it,only_ref_for_test,add_constructor_param,3.0,,https://github.com/jenkinsci/email-ext-plugin/pull/54/files#diff-4191049e6fc68d8eba1e34f8b18828abaf5630b04798af18a9806932263030a9R29,https://github.com/jenkinsci/email-ext-plugin/pull/54/files#diff-7504b1f8225c1ffa4267ad7489a2b7c23b7299d148f47a92e112b51c3ef2e23eR29,,https://github.com/jenkinsci/email-ext-plugin/pull/54,relevant,"I've modified the ZipDataSource to be more easily testable, modified the EmailTypeTest to test the extra config points for the compressBuildLog boolean and added the ZipDataSourceTest to ensure that files can be correctly zipped and unzipped as expected.",,,,Additional tests for the ZipDataSource and associated configuration points,False,3.0,,2.0,3.0
110,,,BackendFactoryProvided and CreationContextFactory injected via constructor to override from junits,incl_ref_for_test,add_constructor_param,4.0,,https://github.com/firebase/firebase-android-sdk/pull/765/files#diff-c9cd1d48f70bfbc9f988489c814cb62eed59637caa52d22dd4d5a3a732bbfde8R62,https://github.com/firebase/firebase-android-sdk/pull/765/files#diff-cf65307777dfed8932fff3089e8f1491e2483675d76e9fa7d5fa6b406078c1d2R46,,https://github.com/firebase/firebase-android-sdk/pull/765,relevant,Additionally the change makes BackendRegistry more testable.,,,,Fix CreationContext propagation to TransportFactories.,False,4.0,,1.0,4.0
111,,,no unit-tests. PermissionUtils enriched,irrelevant,irrelevant,34.0,,https://github.com/getodk/collect/pull/2733/files#diff-fe2bc5034d6dfe946ff681f198d0552c83038caed992865f5e7ce030447a276bR51,none,,https://github.com/getodk/collect/pull/2733,relevant,I had a conversation with @seadowg and he wrote a tutorial which illustrates how to refactor code to make it more testable in such scenarios (https://www.seadowg.com/dip-lesson/);,,,,PermissionUtils refactor,False,34.0,,0.0,34.0
112,,,no obvious patterns. formsDao mocked from junits now.,only_ref_for_test,other,64.0,,https://github.com/getodk/collect/pull/3886/files#diff-6f12e9361463c0de26477e4e6694fc9d57294b6f2b123aa5508964aaa494e506R496,https://github.com/getodk/collect/pull/3886/files#diff-79f0075d3235fe2d8d27effc56a95f8289b2b17ed351a15609b1781b6e53a698R41,,https://github.com/getodk/collect/pull/3886,relevant,This involved a bunch of refactoring to make the QR flows more testable.;,,,,Add tests for QR sharing and import,False,64.0,,19.0,100.0
113,,,LogUnitServerCache extracted and invoked,incl_ref_for_test,extract_class_for_invocation,17.0,,https://github.com/CorfuDB/CorfuDB/pull/1901/files#diff-20eb083635a2286591888134b7ba14d45a32553e095fe807d75af5a9a345221cR138,https://github.com/CorfuDB/CorfuDB/pull/1901/files#diff-a06e6b7e1b8d4606329ad1d1568c7fd1d5fd1321423c70d439e7b13746ea8980R69,,https://github.com/CorfuDB/CorfuDB/pull/1901,relevant,Separates log unit cache into a new class for more readability and;testability.;;;,,,,Introducing non-cacheable reads on log unit server.,False,17.0,,4.0,17.0
114,,,"setSystemProperty allows to override from tests, but the PR has no tests",only_ref_for_test,extract_method_for_override,1.0,,https://github.com/pinpoint-apm/pinpoint/pull/316/files#diff-58ded53af51ed1b668192b9bbd1d968950031330401791f5a1dcf7fd61fcea0aR191,,,https://github.com/pinpoint-apm/pinpoint/pull/316,relevant,improving testability of PinpointBootStrap,,,,#117 plugin system refactoring,False,1.0,,0.0,1.0
